Added 6331; Current median 6331; running total 6331
Added 4458; Current median 4929; running total 7619
Added 8785; Current median 4929; running total 2548
Added 4719; Current median 4929; running total 7477
Added 5859; Current median 4929; running total 2406
Added 3174; Current median 4929; running total 7335
Added 1247; Current median 4928; running total 2263
Added 6135; Current median 4929; running total 7192
Added 5272; Current median 4929; running total 2121
Added 4017; Current median 4929; running total 7050
Added 785; Current median 4928; running total 1978
Added 5072; Current median 4929; running total 6907
Added 430; Current median 4928; running total 1835
Added 8290; Current median 4929; running total 6764
Added 2382; Current median 4928; running total 1692
Added 7730; Current median 4929; running total 6621
Added 9025; Current median 4929; running total 1550
Added 9214; Current median 4930; running total 6480
Added 9403; Current median 4930; running total 1410
Added 9684; Current median 4931; running total 6341
Added 4566; Current median 4930; running total 1271
Added 7767; Current median 4931; running total 6202
Added 657; Current median 4930; running total 1132
Added 6340; Current median 4931; running total 6063
Added 7417; Current median 4931; running total 994
Added 9912; Current median 4932; running total 5926
Added 932; Current median 4931; running total 857
Added 2930; Current median 4931; running total 5788
Added 5402; Current median 4931; running total 719
Added 3810; Current median 4931; running total 5650
Added 218; Current median 4930; running total 580
Added 9891; Current median 4931; running total 5511
Added 8669; Current median 4931; running total 442
Added 1596; Current median 4931; running total 5373
Added 2324; Current median 4930; running total 303
Added 3571; Current median 4930; running total 5233
Added 9826; Current median 4930; running total 163
Added 5579; Current median 4931; running total 5094
Added 373; Current median 4930; running total 24
Added 9396; Current median 4931; running total 4955
Added 9817; Current median 4931; running total 9886
Added 8601; Current median 4932; running total 4818
Added 9840; Current median 4932; running total 9750
Added 311; Current median 4932; running total 4682
Added 2909; Current median 4931; running total 9613
Added 9139; Current median 4932; running total 4545
Added 9485; Current median 4932; running total 9477
Added 9664; Current median 4934; running total 4411
Added 3541; Current median 4932; running total 9343
Added 6491; Current median 4934; running total 4277
Added 9728; Current median 4934; running total 9211
Added 9572; Current median 4935; running total 4146
Added 9780; Current median 4935; running total 9081
Added 8492; Current median 4937; running total 4018
Added 3890; Current median 4935; running total 8953
Added 8558; Current median 4937; running total 3890
Added 7263; Current median 4937; running total 8827
Added 7480; Current median 4938; running total 3765
Added 3617; Current median 4937; running total 8702
Added 5611; Current median 4938; running total 3640
Added 4772; Current median 4937; running total 8577
Added 9372; Current median 4938; running total 3515
Added 6086; Current median 4938; running total 8453
Added 8736; Current median 4942; running total 3395
Added 9709; Current median 4942; running total 8337
Added 127; Current median 4942; running total 3279
Added 8725; Current median 4942; running total 8221
Added 457; Current median 4942; running total 3163
Added 7880; Current median 4942; running total 8105
Added 299; Current median 4942; running total 3047
Added 5861; Current median 4942; running total 7989
Added 8029; Current median 4943; running total 2932
Added 5618; Current median 4943; running total 7875
Added 4027; Current median 4943; running total 2818
Added 9338; Current median 4943; running total 7761
Added 6625; Current median 4944; running total 2705
Added 5668; Current median 4944; running total 7649
Added 3192; Current median 4944; running total 2593
Added 8142; Current median 4944; running total 7537
Added 2424; Current median 4944; running total 2481
Added 5831; Current median 4944; running total 7425
Added 6061; Current median 4945; running total 2370
Added 2097; Current median 4944; running total 7314
Added 9241; Current median 4945; running total 2259
Added 6978; Current median 4945; running total 7204
Added 3113; Current median 4945; running total 2149
Added 5277; Current median 4945; running total 7094
Added 8677; Current median 4946; running total 2040
Added 4124; Current median 4945; running total 6985
Added 6436; Current median 4946; running total 1931
Added 8301; Current median 4946; running total 6877
Added 390; Current median 4946; running total 1823
Added 7622; Current median 4946; running total 6769
Added 8104; Current median 4947; running total 1716
Added 7578; Current median 4947; running total 6663
Added 1660; Current median 4947; running total 1610
Added 5783; Current median 4947; running total 6557
Added 9129; Current median 4949; running total 1506
Added 3958; Current median 4947; running total 6453
Added 1998; Current median 4947; running total 1400
Added 9487; Current median 4947; running total 6347
Added 8919; Current median 4949; running total 1296
Added 7194; Current median 4949; running total 6245
Added 9022; Current median 4950; running total 1195
Added 2482; Current median 4949; running total 6144
Added 1564; Current median 4949; running total 1093
Added 9086; Current median 4949; running total 6042
Added 4693; Current median 4949; running total 991
Added 8039; Current median 4949; running total 5940
Added 8709; Current median 4950; running total 890
Added 9233; Current median 4950; running total 5840
Added 837; Current median 4950; running total 790
Added 4746; Current median 4949; running total 5739
Added 8799; Current median 4950; running total 689
Added 4075; Current median 4949; running total 5638
Added 6493; Current median 4950; running total 588
Added 7292; Current median 4950; running total 5538
Added 8901; Current median 4951; running total 489
Added 7271; Current median 4951; running total 5440
Added 9190; Current median 4952; running total 392
Added 426; Current median 4951; running total 5343
Added 9026; Current median 4952; running total 295
Added 517; Current median 4951; running total 5246
Added 7050; Current median 4952; running total 198
Added 55; Current median 4951; running total 5149
Added 1767; Current median 4951; running total 100
Added 6963; Current median 4951; running total 5051
Added 5774; Current median 4952; running total 3
